name,type
paola_rojas_h,2
foro_tv,2
el_universal_mx,2
reformacom,2
reformagadgets,2
reformanegocios,2
excelsior,2
cnnmex,2
ntelevisa_com,2
wradiomexico,2
mvsjalisco,2
zona3noticias,2
muralcom,2
revistacorreo,2
proyectopuente,2
jalatorregdl,2
pedroferriz3,2
cbarreradiaz,2
anabelhdezmx,2
mlopezsanmartin,2
elalbertomedina,2
sancadillanorte,2
sergiosarmiento,2
taniarendon,2
ricardoalemanmx,2
azucenau,2
arelipaz,2
aura_,2
sopitas,2
eleconomista,2
mariocampos,2
franciscozea,2
genarolozano,2
jorgeberry,2
campossuarez,2
mcmaricarmen,2
ciberfan,2
apontedavid,2
yonatanperez,2
larevueltamx,2
proyecto360mx,2
publicasmx,2
revistatmx,2
elestadomx,2
kalotmx,2
lanoticiamx,2
lasillarota,2
diariodegdl,2
tuitenoticias,2
cgnoticias2,2
oronoticias,2
alcaldesmx_tv,2
alcaldesmexico,2
periodicoketzal,2
zona_puebla,2
yosoytampico,2
yosoymexicano2,2
yogobiernoorg,2
yo_teinformo,2
yo_retwitteador,2
yo_cuidomicd,2
yanus3_7,2
xprestimex,2
noticiapuebla,2
centralpuebla,2
senado2012,2
larazon_mx,2
mxqnoticias,2
publimetromx,2
pulso_mx,2
reporteindigomx,2
unomasunomx,2
cadenatres_mx,2
elfinancieromx,2
elfinanciero_mx,2
elfinanciero_ba,2
elgmx,2
elhorizontemx,2
jornadasanluis,2
lajornadaonline,2
reformaopinion,2
reformaciudad,2
webcnn,2
cnnee,2
cnnexpansion,2
aztecanoticias,2
antenaradio,2
radio_formula,2
_capitaldf,2
diarionl,2
jlanoticias,2
milenio,2
lasdiezmilenio,2
milenioyucatan,2
mileniotv,2
mileniojalisco,2
oncenoticiastv,2
tvnovelasmexico,2
revistabarrio,2
revistaetcetera,2
revistalibertas,2
noticiasmvs,2
sipsenoticias,2
sipse,2
univ_metropoli,2
metropoli1150,2
noticiascanal10,2
enfoquenoticias,2
efektonoticias,2
televisagdl,2
notisistemagdl,2
notigdl,2
noti_gdl,2
milenionotigdl,2
maspormasgdl,2
periodicocorreo,2
periodicozocalo,2
periodiconmx,2
periodicoeltren,2
periodicoabc,2
mileniomty,2
info7mty,2
xclusivaspuebla,2
unomasunopuebla,2
perioelpueblito,2
capitalpue,2
uniradioinforma,2
uniradionoticia,2
uniondemorelos,2
uniobregon1,2
unimexicali1,2
aristeguionline,2
fandearistegui,2
pedroferriz,2
qtf,2
josecardenas1,2
beltrandelriomx,2
arturomorenomx,2
andresestevezmx,2
victorcabreramx,2
mariobeteta,2
noticiasvicky,2
alvarocueva,2
carolina_rocha_,2
gtlaseca,2
karlaiberia,2
pablohiriart,2
cirogomezl,2
lupitamartineza,2
luisgyg,2
dmorenochavez,2
guillermochoa,2
elisaalanis,2
gustavorenteria,2
lumendoz,2
vianeyesquinca,2
zerobyt,2
yoresongo,2
yforzan,2
chucho_sanchez,2
trntor,2
aguantepollo,2
memoria_mx,2
mxpulsopolitico,2
netnoticiasmx,2
noticiasmx365,2
notiseguridadmx,2
plazadearmasmx,2
politicamx,2
primeraplanamx,2
publimediosmx,2
queretarocommx,2
saladeprensa_mx,2
sexenio_ags,2
sexeniomx,2
sinembargomx,2
theinsightersmx,2
ultimahoramx,2
ultimapalabramx,2
urban360_mx,2
vcnoticiasmx,2
wimomx,2
xponentemx,2
24horasmx,2
4noticiasmxp,2
alarmmx,2
almomento_mx,2
capitalpromx,2
cdmxnoticias,2
cdsegurasmx,2
circulorojo_mx,2
conlupamx,2
diariodfmx,2
economiahoymx,2
elandenmx,2
elinformantemx,2
eltromemx,2
entiemporealmx,2
entresemanamx,2
globalinfomx,2
huellasmx,2
infopoder_mx,2
informatemx,2
ivitalmx,2
izqmx,2
jentelmx,2
lacarpamx,2
lado_mx,2
emeequis,2
quadratinmexico,2
quadratin_qtro,2
diario24horas,2
siete24noticias,2
prensalanoticia,2
qrrtv,2
revistaenterat,2
infomovilnews,2
noticiastln,2
nictenoticias,2
hashtagnoticias,2
noticiaszmg_nac,2
newsnoticias24h,2
justnownoticias,2
noticiasxf,2
metro_noticias,2
lasnoticiasdf,2
noticiastecn0,2
rochasnoticias,2
radius_noticias,2
stnoticias,2
noticiaszmg,2
pue_noticias,2
yahoonoticias,2
yahoomxnoticias,2
yahoofinanzas,2
yahoo_espanol,2
unonoticias_qr,2
metropolizmg,2
metropolihoy,2
unocero,2
cerounounocero,2
elnacionalred,2
mensajepolitico,2
cnmx_2015,2
ejecentral,2
encontextomx,2
retiogdl,2
reporterosgdl,2
newsgdl,2
atiempogdl,2
asilascosasgdl,2
periodistasmx15,2
reporteroshoy,2
reporterosenmov,2
periodicosweb,2
periodicoam,2
zonafrancamx,2
zona_legis,2
zacatech,2
zacatecasnews,2
yucatannoticia,2
yucatanall,2
yucanews,2
yosoyadn,2
yosoy_centro,2
yornoticias,2
noti_mty,2
mtypost,2
virtualpuebla,2
sexeniopue,2
puertodigital_,2
puentesmx,2
pueblaonline,2
politica_puebla,2
digitalpuebla,2
diariodepuebla,2
desdepuebla1,2
culturapuebla,2
apuertacerrada1,2
ciudadypoderq,2
chilangocom,2
urbanianoticias,2
urcradio,2
urbanrecordsmx,2
ultranoticiasmx,2
tallapolitica,2
entornoi,2
entreteniendomx,2
entrenosotrosdf,2
enterate_mx_,2
enteratd,2
enteratdchiapas,2
enserionoticias,2
agnveracruz,2
monitornacional,2
monitorexpresso,2
hermes_07,2
comunidad_exc,2
carlosloret,2
elwesomx,2
cambiodigital,2
der_ciudadano,2
imagen_mx,2
info_omargarcia,2
enguadalajara,2
edotech,2
edonegocios,2
edopolitica,2
novedadesaca,2
elpais_america,2
revistaproceso,2
unonoticias,2
newscancun,2
oro1170,2
tech_admx,2
df_admx,2
lopezdoriga,2
patriciabehisa,2
simplchange,2
tijuanadigital,2
omar_comunica,2
capital_qro,2
xatakamexico,2
motorpasionmex,2
joe_santana1,2
univ_data,2
salvadorza,2
asilascosasw,2
yenzivm,2
carlosraya,2
mural_negocios,2
juanczuniga,2
n3xtn3ws,2
lacapital_,2
elbasiliogmas,2
dnisjnth,2
hectordiego,2
pajaropolitico,2
qoretech,2
primerotuimagen,2
sandravelezf,2
puntoneutromex,2
arturoangel20,2
malamadremx,2
clarariveros,2
eruizhoyestado,2
rcmultimedios,2
betomillar,2
foropoliticodig,2
mipuntodevistaa,2
maspormas,2
capitalmx_,2
072cdmx,1
_mjuan_,1
a_ahued,1
a_encinas_r,1
aaronirizar,1
aaronurbina_mx,1
aatayder,1
abasave,1
abelguerrag,1
abrahammontesd5,1
abrahamquiroz_,1
acc_castillo,1
acevedogarciaf,1
acolhuatexcoco,1
acostanaranjo,1
adan_augusto,1
adelarosa14,1
adfuentest,1
adiazathie,1
adolfo_orivebrp,1
adolforomeroprd,1
adriana_hi,1
adrianadavilaf,1
adrianrubalcava,1
adriatristain,1
adriglezcar,1
agencia_asea,1
agucdmx,1
aidavalencialox,1
aidavalenciar,1
aispurodurango,1
albertocuri,1
albertolomx,1
alcienconladiva,1
aldfmorena,1
ale_barralesm,1
aleidaalavez,1
alejandradmv,1
alejandralopesn,1
alejandromontano,1
alejandromurat,1
alexllanasalba,1
alfonso_robledo,1
alfredovenadero,1
algredodip,1
aliciaricaldeof,1
alitomorenoc,1
allietcandidata,1
almsoberon,1
alonsoraya_,1
alvarez_ivonne,1
amievajoserra,1
anagabrielague,1
anaitzaisa,1
analiliaherrera,1
anaya_alfredo,1
andresmassieu,1
andrespvem,1
angelgarcia_y,1
angelicaaraujo,1
angelicadelap,1
angelinacm_,1
angelino14,1
antonietaht,1
antoniosansores,1
anzuetodiputado,1
arely_gomez,1
arely_madrid,1
arelygomezglz,1
arivadeneyrah,1
arletmolgorag,1
arnoldoochoa_,1
arriolamikel,1
arturodelarosa_,1
arturoesc,1
arturoxloscabos,1
arturozamora,1
asambleadf,1
atelloc,1
aurelionuno,1
auroraaguilarr,1
azcapotzalcodf,1
azuletcheverry,1
barbararomo,1
barrigae,1
beatriz_mojica,1
beatrizzavala,1
benitocaballero,1
benjaminroblesm,1
berealvarezt,1
bereburguete,1
betoprietoh,1
betsieyanez,1
bettyyamamoto,1
blanca_jimenez,1
blancaegomez23,1
blancajc,1
blancajcastillo,1
blasrubio_,1
brauliomfdz,1
bren_alvarado,1
burgossenador,1
c_cardenas_s,1
caemedomex,1
candelaria___,1
candidatocarlos,1
cardenasenrique,1
cardenasgabriel,1
carlos_ibarral,1
carlosangulop,1
carloscastanos,1
carlosestradaiz,1
carlospuentezac,1
carlossotelo888,1
carolantonioa,1
catalino_duarte,1
cdelgadillog,1
cdhdf,1
cdmx_semovi,1
ceadde,1
celiagauna,1
cesariopadilla,1
cesc_edomex,1
chachodiputado,1
chava_barajas_t,1
chavoromero,1
chelisoliveros,1
chemamtzmtz,1
chertorivski,1
chicolbarrera,1
chonorihuela,1
chrislopezbc,1
christianvonroe,1
chuyvaldesp,1
cinthyavalladar,1
ciudad_segura,1
claudelgadillo1,1
claudiabojorque,1
claudiapavlovic,1
claudiashein,1
claudiasilfe,1
cmendozadavis,1
cnh_mx,1
cocoacalderon,1
comisionadomxq,1
comisionct,1
conago_oficial,1
conagua_clima,1
conalexrangel,1
conapesca,1
conapo_mx,1
conasami_tw,1
conchitadiez,1
condusecdmx,1
conisidromoreno,1
consejeriadf,1
contrerasnieto_,1
copred_cdmx,1
coronadomx,1
cozumelprd,1
craviotocesar,1
cristina_diaz_s,1
cristinaglez39,1
cristinajm2015,1
cristinaruiz_s,1
croc_nacional,1
cromerodeschamp,1
cruz_roa,1
crystaltovar,1
cuajimalpa_dece,1
cuajimalpa_dgsu,1
cuellar_steffan,1
cultura_mx,1
culturacdmx,1
culturaedomex,1
cynthiagarciamc,1
cynthialopezc1,1
d_vcarranza,1
daheranuar,1
damianzepeda,1
daniel_amador1,1
danielavilamx,1
danielsosamx,1
danyolibass,1
daogobmx,1
dariodiputado,1
david_lopez_gtz,1
davidmonreala,1
davidpenchyna,1
davidptp07,1
del_coyoacan,1
del_iztapalapa,1
del_milpaalta,1
delcuauhtemoc,1
delegacionbj,1
delegacionmc,1
delegacionmh,1
delegacionxochi,1
delgadillojm,1
delvimdiputada,1
denisse_ugalde,1
denunciainveadf,1
dessocial_cdmx,1
dianakarinavr,1
diegosinhue,1
difcdmx,1
dioneanguianof,1
diplgarfias,1
diprosaadriana,1
diputado_paquin,1
diputadosdelpri,1
diputadosprdmx,1
divagastelum,1
dolores_pl,1
domposadas,1
dora_talamante,1
dorador1,1
dtlalpan,1
dulce_muniz,1
dunyaskapanver,1
e_cuauhtemocmx,1
edelamadrid,1
edgar__amador,1
edgarspinoso,1
edgartungui,1
edomex,1
eduardo_rovelo,1
educacioncdmx,1
ef_galindo,1
elgoberdezac,1
eliacabanasbc,1
eloycantus,1
elymaciasgdl,1
emilio_gamboa,1
emilio_gamboa_,1
emiliolozoyaaus,1
emilsemiranda,1
emilsemiranda1,1
enriqueaubry,1
enriquedogerpue,1
enriqueflores21,1
enriqueochoar,1
enriquerl,1
epn,1
erifunes,1
ernesto_nu,1
ernestocordero,1
ernestogandarac,1
ernestonemer,1
eruviel_avila,1
erwin_lino,1
esanchezhdz,1
esolanasenties,1
estherangelicam,1
evalua_df,1
evdiec,1
evielpm,1
evielpm_,1
evodiovelazquez,1
f_a_a_p,1
f_coronato,1
faboitiz,1
fadurazo,1
farotlahuac,1
farroyov,1
faustinofelix,1
faustolugo,1
fco__guzman,1
felipe_cdmx,1
felipeacamarena,1
felipedejesusal,1
felix_gonzalezc,1
fer_mercadog,1
ferbelaunzaran,1
ferbribiesca,1
fercharleston,1
ferdoval,1
ferlarrazabal,1
fermaciascue,1
fermaldonadodip,1
fernandaporti,1
fernandaschver,1
fernando_zamora,1
fernandomayans,1
fernandozarates,1
fgcabezadevaca,1
fherherreraa,1
fidel_ct,1
fideldemedicis,1
filiguevaraglez,1
finanzasedomex,1
fitobonilla,1
florayalar,1
flores_mendez,1
floresmendezjl,1
florpedraza,1
fonaturmx,1
fovissstemx,1
fraccprd,1
fyunesmarquez,1
g_eligio8,1
gabinocue,1
gabycuevas,1
gabymedrano83,1
gamadero,1
gamsocial,1
gandara2012,1
garca5ma,1
gauhernandez,1
genaro_carreno,1
genaroruiza,1
gerardo_hdez_t,1
gerardoelarquip,1
gerardofloresr,1
gerardogaudiano,1
gerardoliceaga,1
gerardoquirinov,1
gerardosgcnc,1
germanpachecodi,1
germinalmorena,1
gilbertohiratac,1
glafirosalinas,1
gnunezsanchez,1
gobcdmx,1
gobiernodf,1
gobiernojalisco,1
gobqro,1
gonzalo7sanchez,1
gpe_vargas1,1
gpmorena63,1
gppandf,1
gracielasaldana,1
graciorglez,1
gracoramirez,1
gruizesp,1
guzmandelfina,1
halonsomorelli,1
harveygutierrez,1
hectorastudillo,1
hectorhgutierre,1
hectorhugo_37,1
hectorserranoc,1
hectoryunes,1
hernandezderas,1
hgalindoq,1
hildaflorese,1
hmayansc,1
homeronr,1
horaciodelavega,1
hugo_jarquin,1
hugo_zumayaprd,1
humaran_cdmx,1
i_e_d_f,1
ibdsenado,1
ieepco,1
igispem,1
ildefonsogv,1
inami_mx,1
inapam,1
indesol,1
inecc_gob_mx,1
injuvecdmx,1
inmujerescdmx,1
internaccdmx,1
irazema_g,1
irismmendoza,1
isaias_cortes,1
isaias_croc,1
isidro_pedrazac,1
isidromor,1
israelmorenori,1
israelmorenoriv,1
israelmorriv,1
issste_mx,1
itzyriv,1
iztacalcoxti,1
j_lorenzini,1
jacquie_lhoist,1
jaimerdznl,1
jalopezcandido,1
jan_herzog,1
jarturosalinas,1
javier_corral,1
javier_trevino,1
javierlozanoa,1
javierlzavala,1
javiersalinasn,1
jc_romerohicks,1
jcmunozmarquez,1
jcromerohicks,1
jeanny_arroyo,1
jessica91398273,1
jesuscasillas06,1
jesusortegam,1
jesusoviedoh,1
jf_caceres,1
jflemate,1
jgarciabejos,1
jglezmorfin,1
jherreradelgado,1
jhonjardines,1
jjgraham_nieto,1
jl_floresg,1
jl_luege,1
jlavallemaury,1
jlozanoa,1
jmanuelcarbajal,1
jmcarbajalh,1
jmfocil,1
jmgastelumb,1
joaquin_coatza,1
joaquinanc,1
joaquincoldwell,1
joaquinctorres,1
jorge_sotomayor,1
jorge_vlobos,1
jorgealvarezofi,1
jorgeemilioglz/,1
jorgerohe,1
jorgerosinol,1
jorgesalgado10,1
jorgesalgadop,1
jose_slopez,1
joseameadek,1
joseangel_avila,1
joseantoniorojo,1
joseluisesquiv9,1
josesm2,1
josesoma,1
jpilarmoreno,1
juan_aquino_,1
juanbuenot,1
juanhugoneza,1
juanmanuel10f,1
juanpabloadame,1
juarezvero,1
juditguerrero3,1
julioc_moreno,1
justiciacdmx,1
kamelathie,1
karenquirogaa,1
katy_mercado,1
kikerojas007,1
kikovega_,1
lacomunastyfe,1
lamelgar,1
landyberzunza,1
larioshector,1
laura_rojas_,1
laurabarreraf,1
laydasansores,1
lballesterosm,1
legislativojal,1
leobardo_alcala,1
leonorazul,1
lesliepantoja,1
leti_herrera,1
leticalderonr,1
leticia_quezada,1
lety_mc,1
letylopez_2012,1
lichectorgarcia,1
liliamerodio,1
lisbethlecona,1
liz_gamboa,1
lopezbrito_,1
loremendezd,1
lorenacuellar,1
loreniavalles,1
lorenzocordovav,1
lourdesquinones,1
lucerosenadora,1
lucyperez2012,1
luis_murguia04,1
luisaalcalde,1
luisfelipe_p,1
luisolverapri,1
luisrabagom,1
luisroldan_na,1
luissabeltran,1
lujambioalonso,1
lupegarcia_pan,1
lupita_mondrag,1
luzmaberistain,1
lvidegaray,1
machucacroc,1
maguimartinez,1
makiortizd,1
malumicher,1
manuelanorve,1
manuelbartlett,1
manuelcamachos,1
manuelcota,1
manuelgranados_,1
manzur_jose,1
marce_torres7,1
marcelaguerranl,1
marcelotorresc,1
marco_barba,1
marco_calzada,1
marcobernalg,1
marcobla2,1
marcogonzaleznl,1
marcoprinl,1
marcos_rosendo,1
marcosaguilar,1
marcovelar,1
margaretsaldana,1
margaritablunar,1
margaritalicea,1
margaritasenado,1
mariaelenabt,1
mariaelvia_a,1
marianadunyaska,1
marianagc,1
mariaveragdl,1
maricarmentehua,1
maricelamvs,1
marina_vitela,1
marinacercadeti,1
marinomiranda,1
mario_delgado1,1
mario_dipancoah,1
mario_saru,1
mariocarrillomx,1
mariosanchez_m,1
marisaortiz2012,1
marisols2015,1
martha_sosa1,1
marthaelena_gg,1
marthapalafoxpt,1
marthazepeda1_,1
martibatres,1
martinheredia8,1
martinlopc,1
martinorozcoags,1
mary_telma,1
marygarciahpan,1
maryhuertarea,1
mauriciosahui,1
maxcortazarl,1
maximoothon,1
mayraroblesa,1
mbarbosamx,1
mclsenador,1
mcpinete,1
melissatorres_s,1
mely_romero,1
memo_anaya,1
merilyngomezp,1
metrobuscdmx,1
mexteki,1
mfbeltrones,1
migel_ange,1
miguelacamara,1
miguelaguayomx,1
miguelalonsogob,1
miguelchicoh,1
miguelchicoofl,1
miguelsamanop,1
minervacr1,1
mirandaemilse,1
miriamcardenasc,1
mirnahermo,1
mlopezcedillo,1
monicaalmeidalo,1
monicaarriola,1
morelliboca,1
morena_atlixco,1
movilidadjal,1
murillokaram,1
mx_diputados,1
naborochoalopez,1
nacho_duarte_,1
nachoperaltacol,1
nadercarlos,1
narciahector,1
navarretecarlos,1
navarreteprida,1
nelly_vargas,1
nellysenadora,1
nestorgordillo,1
ninfasalinas,1
noe_barrueta,1
noebarrueta,1
noehdez_2012,1
normaponceo,1
nuvia_mayorga,1
oborboa,1
octaviopedroza,1
omarborboa10,1
omarfayad,1
omarossiel,1
ordazmaricarmen,1
oscarbv3,1
oscarchavez_gdl,1
oscarrosasg,1
osorio chong,1
ossielomar,1
pabloescuderom,1
paco_glezv,1
paco_olvera,1
pacoayon,1
pacogonzalezv,1
pacograjales,1
palomavpri,1
panchdominguez,1
pancho_burquez,1
pancho_burquez_,1
paotmx,1
paquin_diputado,1
paquiscorrales,1
pat_mercadoc,1
patricia_lugob,1
patriciomtz2012,1
pattyretamoza,1
paula_hdz,1
paulocarreno,1
pcsegob,1
pedro_dgz,1
pedropablotrev,1
pemex,1
pepe_yunes,1
pepenavag,1
peraltarbk,1
perezelviam,1
pgj_cdmx,1
pgjdf_cdmx,1
pgr_mx,1
picozepeda,1
planverdecdmx,1
policiafedmx,1
ponchin_inzunza,1
poncianovp,1
ppcalzada,1
ppmarquez12,1
prd_aldfmx,1
prd_de_jalisco,1
prd_nayarit,1
prd_puebla,1
prdchetumal,1
prdmexico,1
preciado37,1
prensabasave,1
presidenciamx,1
pridepuebla,1
prijalisco2013,1
primeroirma,1
primx_jalisco,1
primx_matamoros,1
pripuebla2016,1
probosque_,1
procdmx,1
procuradormxq,1
profeco,1
prosoccdmx,1
prospera_mx,1
puebla_iee,1
puri2010,1
qrotravel,1
rabinsalazar,1
rabreua,1
rafaelacostamx,1
rafaelgresendiz,1
rafaelpacchiano,1
rafamicalco,1
rafamorenovalle,1
ralbores,1
rasampayo,1
rastudillo2012,1
raulmoronmichoa,1
raulpaz_iv,1
raulpozosmx,1
ravilaordonez,1
raymundoking,1
razema_m,1
regina_vazquez,1
renedruckermx,1
renefuji,1
renejuarez,1
renovatiomx,1
reyesbaeza,1
reyesgamiz,1
reynaldoixt12,1
rgaspareche,1
rgilzuarth,1
rgolmedo,1
rgraciag,1
ricardoanayac,1
ricardobarrosoa,1
ricardomeb,1
ricardomonreala,1
rigosalgadov,1
riospiterjaguar,1
robrmzdelaparra,1
rocio2014666,1
rocio_reza,1
rociocoronankm,1
rociopinedag,1
rodimirobarrera,1
rodolfodorador,1
rodolforiosg,1
rogelio_garciam,1
romanquian,1
romomedina_,1
rosaicela_cdmx,1
rosalbagualito,1
rosalbagualito1,1
rosalbasextodis,1
rosario_robles_,1
rosariomerlin,1
rosariopariente,1
rosendoserranot,1
roslinda_15,1
roxanalunap,1
roygomezolguin,1
rsgv44,1
rtovarydeteresa,1
rtp_cdmx,1
ruben_camarillo,1
ruben_escajeda,1
ruffoappel,1
ruizmassieu,1
s_cienfuegos_z,1
sacmex,1
sagarpa_mx,1
salazarluisfer,1
saldanalucero,1
salgadoabel,1
salomonmj,1
saludedomex,1
samuelrosalesc,1
samygurrion,1
sanchezleopoldo,1
satmx,1
saulplazola,1
sct_mx,1
se_mx,1
secgobcdmx,1
sectur_mx,1
sedatu_mx,1
sedecocdmx,1
sedecoedomex,1
sedema_cdmx,1
sedenamx,1
sedesem0,1
sedesol_mx,1
sedeur_edomex,1
seducedomex,1
seduvicdmx,1
segob_mx,1
segobcdmx,1
semar_mx,1
semarnat_mx,1
semov_edomex,1
semovi_cdmx,1
senado_pri,1
senadorbarbosa,1
senadoresdelpan,1
senadoresprd,1
sencastrotrenti,1
sener_mx,1
sep_mx,1
sergiochavez_d,1
sergiotorres7mo,1
sernalui,1
servimetsa,1
sfp_mx,1
sggedomex,1
shcp_mx,1
silvano_a,1
silvanoaureoles,1
silvanoblanco,1
silvia_garza,1
silviamarquezve,1
simon_neumann,1
simon_villarm,1
simonlevymx,1
sobsecdmx,1
socorrocesenas,1
sofio_ramirez,1
soniarincon_ch,1
soralla_bt,1
soyblancaalcala,1
spccdmx,1
sre_mx,1
ssalud_mx,1
ssp_cdmx,1
stedf_cdmx,1
stps_mx,1
sue_bernal,1
taniammorgan,1
taniaxliii,1
tanya_rellstab,1
tanyarellstab,1
temogalindo,1
tereborgespasos,1
terejimeneze,1
teremojica,1
timoteovilla,1
tmullergarcia,1
tomas_britol,1
tomas_torres,1
tonoastiazaran,1
tonygali,1
torresgrac,1
trabajocdmx,1
trinidadmorale2,1
tu_imss,1
turismocdmx,1
ucs_cdmx,1
urielfloresxal,1
valentin_m_s,1
vamosconlucero,1
vazquezmartin,1
vero_carreon,1
veronicamunozp,1
vhlobo,1
victor_estradag,1
victoralsenado,1
victordoficial,1
victorfuentesmx,1
victorgoman,1
victorjorrin,1
victorvelascoo,1
villarrealgto,1
villarrealric,1
villawolves78,1
vjorrin,1
vromog,1
vrubiomarquez,1
vserralde,1
vserralde13,1
williamsosaa,1
willyochoag,1
xavierazuaraslp,1
ximenamartelc,1
xitlalicceja,1
xochitlgalvez,1
yeidckol,1
ynolasco2,1
zitapazzi,1
zoerobledo,1
zuleymahuidobro,1
camegalopolis,1
gobmx,1
072AvialCDMX,1
manceramiguelmx,1
aire_cdmx,1
locatel,1
ovialcdmx,1